label,file,stream,sni,packet_1,packet_2,packet_3,packet_4,packet_5,packet_6,packet_7,packet_8,packet_9,packet_10,packet_11,packet_12,packet_13,packet_14,packet_15,packet_16,packet_17,packet_18,packet_19,packet_20,packet_21,packet_22,packet_23,packet_24,packet_25,packet_26,packet_27,packet_28,packet_29,packet_30
www.52pojie.cn,52pojie.pcap,7641,r.cnki.net,530,1460,528,80,1456,271,271,418,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,7822,c61.cnki.net,819,245,80,1456,271,648,283,790,1460,120,1460,196,1040,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,6586,cdaj.cnki.net,533,1460,528,80,1456,271,271,201,339,1460,98,1460,98,790,1460,866,1460,98,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
www.cnki.net,cnki.pcap,11813,r.cnki.net,881,245,80,1456,271,418,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,3085,piccache.cnki.net,792,1460,46,342,266,2213,581,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,4244,gum.criteo.com,598,1460,291,64,92,670,311,311,64,961,31,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,2910,adtrack.adleadevent.com,607,1460,1299,126,51,784,493,784,493,784,493,784,493,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,6970,au.cnki.net,707,1460,528,80,1456,271,271,936,271,790,1460,98,1460,98,1460,942,790,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
www.12371.cn,12371.pcap,1675,p1.img.cctvpic.com,778,1460,890,93,715,274,458,1460,1460,1460,1460,1460,1460,1460,1460,573,799,351,0,0,0,0,0,0,0,0,0,0,0,0
www.12371.cn,12371.pcap,2181,p5.img.cctvpic.com,810,1460,890,93,724,274,448,1235,797,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.freesion.com,freesion.pcap,1373,js-sec.indexww.com,841,287,64,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,6192,r.cnki.net,530,1460,528,80,1456,271,271,716,1460,10,1460,10,1460,10,1460,1458,1460,10,1460,1460,1460,1460,1460,1460,1460,1460,1460,412,0,0
www.52pojie.cn,52pojie.pcap,4511,r.cnki.net,817,245,80,1456,271,682,1233,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.12371.cn,12371.pcap,5018,hm.baidu.com,604,158,51,904,328,717,237,986,328,939,328,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,18676,p5.img.cctvpic.com,714,1460,890,93,715,274,456,1460,1460,1309,804,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
